Day,Estimated Date,Total Yield (kWh),Max Power Today (W),Max PV Voltage Today (V),Max Battery Voltage Today (V),Min Battery Voltage Today (V),Day Sequence,Time in Bulk (min),Time in Absorption (min),Time in Float (min),Max Battery Current (A),Error Code 1,Error Code 2,Error Code 3,Error Code 4,Yield Yesterday (kWh)
0,2025-06-07,0.1,13,16.23,14.21,0.01,85,523,7,0,3.8,0,0,0,0,0.0,85
1,2025-06-06,0.0,0,0.01,12.4,12.36,84,0,0,0,0.0,0,0,0,0,0.0,84
2,2025-06-05,0.0,0,0.01,12.44,12.4,83,0,0,0,0.0,0,0,0,0,0.0,83
3,2025-06-04,0.0,0,0.01,12.49,12.44,82,0,0,0,0.0,0,0,0,0,0.0,82
4,2025-06-03,0.0,0,0.01,12.53,12.48,81,0,0,0,0.0,0,0,0,0,0.0,81
5,2025-06-02,0.0,0,0.01,12.57,12.53,80,0,0,0,0.0,0,0,0,0,0.0,80
6,2025-06-01,0.0,0,0.01,12.59,12.57,79,0,0,0,0.0,0,0,0,0,0.0,79
7,2025-05-31,0.0,0,0.01,12.63,12.59,78,0,0,0,0.0,0,0,0,0,0.0,78
8,2025-05-30,0.0,0,0.01,12.65,12.61,77,0,0,0,0.0,0,0,0,0,0.0,77
9,2025-05-29,0.0,0,0.01,12.68,12.65,76,0,0,0,0.0,0,0,0,0,0.0,76
